1308,Hovedstaden,København K,55.69,12.58
1309,Hovedstaden,København K,55.69,12.58
1310,Hovedstaden,København K,55.69,12.59
1311,Hovedstaden,København K,55.69,12.59
1312,Hovedstaden,København K,55.69,12.59
1313,Hovedstaden,København K,55.69,12.59
1314,Hovedstaden,København K,55.69,12.59
1315,Hovedstaden,København K,55.69,12.59
1316,Hovedstaden,København K,55.69,12.58
1317,Hovedstaden,København K,55.69,12.58
1318,Hovedstaden,København K,55.69,12.58
1319,Hovedstaden,København K,55.69,12.59
1320,Hovedstaden,København K,55.69,12.59
1321,Hovedstaden,København K,55.69,12.59
1322,Hovedstaden,København K,55.69,12.59
1323,Hovedstaden,København K,55.69,12.59
1324,Hovedstaden,København K,55.69,12.59
1325,Hovedstaden,København K,55.69,12.59
1326,Hovedstaden,København K,55.69,12.59
1327,Hovedstaden,København K,55.69,12.59
1328,Hovedstaden,København K,55.69,12.59
1329,Hovedstaden,København K,55.69,12.59
1350,Hovedstaden,København K,55.69,12.58
1352,Hovedstaden,København K,55.69,12.57
1353,Hovedstaden,København K,55.69,12.57
1354,Hovedstaden,København K,55.69,12.57
1355,Hovedstaden,København K,55.69,12.57
1356,Hovedstaden,København K,55.69,12.57
1357,Hovedstaden,København K,55.69,12.57
1358,Hovedstaden,København K,55.68,12.57
1359,Hovedstaden,København K,55.68,12.56
1360,Hovedstaden,København K,55.69,12.57
1361,Hovedstaden,København K,55.68,12.57
1362,Hovedstaden,København K,55.68,12.57
1363,Hovedstaden,København K,55.69,12.57
1364,Hovedstaden,København K,55.68,12.57
1365,Hovedstaden,København K,55.68,12.56
1366,Hovedstaden,København K,55.68,12.57
1367,Hovedstaden,København K,55.68,12.56
1368,Hovedstaden,København K,55.68,12.56
1369,Hovedstaden,København K,55.68,12.56
1370,Hovedstaden,København K,55.68,12.56
1371,Hovedstaden,København K,55.69,12.56
1400,Hovedstaden,København K,55.67,12.6
1401,Hovedstaden,København K,55.68,12.59
1402,Hovedstaden,København K,55.67,12.59
1403,Hovedstaden,København K,55.68,12.59
1406,Hovedstaden,København K,55.68,12.59
1407,Hovedstaden,København K,55.67,12.6
1408,Hovedstaden,København K,55.67,12.59
1409,Hovedstaden,København K,55.67,12.59
1410,Hovedstaden,København K,55.67,12.59
1411,Hovedstaden,København K,55.67,12.58
1412,Hovedstaden,København K,55.67,12.59
1413,Hovedstaden,København K,55.67,12.59
1414,Hovedstaden,København K,55.67,12.59
1415,Hovedstaden,København K,55.67,12.6
1416,Hovedstaden,København K,55.67,12.59
1417,Hovedstaden,København K,55.67,12.59
1418,Hovedstaden,København K,55.67,12.59
1419,Hovedstaden,København K,55.67,12.59
1420,Hovedstaden,København K,55.67,12.59
1421,Hovedstaden,København K,55.67,12.59
1422,Hovedstaden,København K,55.67,12.6
1423,Hovedstaden,København K,55.67,12.59
1424,Hovedstaden,København K,55.67,12.59
1425,Hovedstaden,København K,55.67,12.59
1426,Hovedstaden,København K,55.67,12.6
1427,Hovedstaden,København K,55.68,12.6
1428,Hovedstaden,København K,55.68,12.6
1429,Hovedstaden,København K,55.68,12.6
1430,Hovedstaden,København K,55.68,12.6
1432,Hovedstaden,København K,55.69,12.61
1433,Hovedstaden,København K,55.7,12.62
1434,Hovedstaden,København K,55.68,12.6
1435,Hovedstaden,København K,55.68,12.61
1436,Hovedstaden,København K,55.68,12.6
1437,Hovedstaden,København K,55.68,12.61
1438,Hovedstaden,København K,55.68,12.6
1439,Hovedstaden,København K,55.68,12.61
1440,Hovedstaden,København K,55.67,12.61
1441,Hovedstaden,København K,55.67,12.61
1450,Hovedstaden,København K,55.68,12.57
1451,Hovedstaden,København K,55.68,12.57
1452,Hovedstaden,København K,55.68,12.57
1453,Hovedstaden,København K,55.68,12.57
1454,Hovedstaden,København K,55.68,12.57
1455,Hovedstaden,København K,55.68,12.57
1456,Hovedstaden,København K,55.68,12.57
1457,Hovedstaden,København K,55.68,12.57
